station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38201,totn_mgNpm2,1738.83,3.372435664061868e-11,decreasing,-51.18999999999994,104272.39999999988,decreasing
38202,totn_mgNpm2,1703.71,3.372435664061868e-11,decreasing,-51.61466666666667,105087.88733333335,decreasing
38203,totn_mgNpm2,1353.42,1.074940136902569e-11,decreasing,-34.425,70306.69499999999,decreasing
38204,totn_mgNpm2,1430.75,5.912648148864719e-11,decreasing,-44.166666666666664,89896.58333333333,decreasing
38205,totn_mgNpm2,1495.38,2.5404789383287607e-11,decreasing,-46.16210526315789,93958.07684210526,decreasing
38206,totn_mgNpm2,1349.4699999999998,1.4342971255132397e-11,decreasing,-36.1557142857143,73769.36571428576,decreasing
38207,totn_mgNpm2,1609.15,4.4790837705477315e-12,decreasing,-48.942499999999995,99640.97749999998,decreasing
38208,totn_mgNpm2,1968.11,1.0295853059005822e-10,decreasing,-64.25133333333333,130663.53066666667,decreasing
23540,totn_mgNpm2,658.77,5.310613282460963e-09,decreasing,-13.674374999999998,28048.543124999997,decreasing
38209,totn_mgNpm2,608.3,1.4885139787423896e-09,decreasing,-18.816666666666674,38298.08333333335,decreasing
38221,totn_mgNpm2,664.74,5.310613282460963e-09,decreasing,-18.465714285714295,37651.56571428573,decreasing
38214,totn_mgNpm2,490.13,1.4885139787423896e-09,decreasing,-11.550952380952381,23626.68761904762,decreasing
38217,totn_mgNpm2,523.6700000000001,1.1483232142950328e-09,decreasing,-14.835000000000008,30238.175000000017,decreasing
36463,totn_mgNpm2,373.41,4.710908774185896e-08,decreasing,-13.57000000000005,27554.1200000001,decreasing
23597,totn_mgNpm2,487.31000000000006,2.4883952676191257e-09,decreasing,-19.265833333333337,39076.77416666667,decreasing
36459,totn_mgNpm2,264.51,2.4883952676191257e-09,decreasing,-10.386666666666665,21069.003333333327,decreasing
38222,totn_mgNpm2,463.84000000000003,3.2092051238663544e-09,decreasing,-14.109523809523807,28725.216190476185,decreasing
38227,totn_mgNpm2,426.62,5.218829812747572e-10,decreasing,-13.406666666666666,27280.173333333332,decreasing
38219,totn_mgNpm2,720.29,2.4883952676191257e-09,decreasing,-21.38736842105263,43559.18894736842,decreasing
38212,totn_mgNpm2,796.1700000000001,8.843783483314382e-10,decreasing,-26.02136363636363,52916.96136363635,decreasing
38215,totn_mgNpm2,334.34000000000003,2.9348740770984705e-08,decreasing,-8.28500000000001,16929.19500000002,decreasing
